block_no,lot_no,capacity,lat_long1,lat_long2,lat_long3,lat_long4
"Memory Area BLK, 10",20,1,"14.110951543142377, 121.55060229197065","14.110931383264349, 121.55061905577786","14.110980157159739, 121.5506183852256","14.110998366077991, 121.55059960976152"
"Memory Area BLK, 10",21,1,"14.110970402381495, 121.5505701054608","14.110953494098217, 121.5505875398203","14.110978206204113, 121.5506177146733","14.110998366077991, 121.55059826865696"
"Memory Area BLK, 10",22,0,"14.111002918307337, 121.55053993060781","14.110983408752388, 121.55056474104252","14.111003568625808, 121.5505942453432","14.11102828072627, 121.55056742325165"
,,,,,,
Lawn New BLK A,,1,"14.110747528543497, 121.55026367889474","14.110742976309051, 121.55026971386535","14.110751430458656, 121.55028245435881","14.110759884607939, 121.55027776049279"
Lawn New BLK A,,0,"14.110741675670628, 121.5502717255222","14.110737123436081, 121.55027574883592","14.110741675670628, 121.55028781877712","14.110746878224285, 121.55028245435881"
Lawn New BLK A,,0,"14.110735822797606, 121.55028312491109","14.110732571201419, 121.55028446601568","14.11074037503219, 121.55028915988169","14.110741675670628, 121.55028781877712"
Lawn New BLK A,,0,"14.110732571201419, 121.55027977214965","14.11072476737038, 121.55028647767253","14.110734522159145, 121.5502951948523","14.110743626628263, 121.55028983043398"
Lawn New BLK A,,0,"14.110726068008917, 121.55028446601568","14.11072021513549, 121.55029117153856","14.110728018966682, 121.55030055927061","14.110737773755293, 121.55029184209086"
Lawn New BLK A,,1,"14.110720865454764, 121.5502951948523","14.110715012581222, 121.55030391203204","14.110722166093316, 121.55030860589805","14.110727368647431, 121.55030257092747"
Lawn New BLK A,,0,"14.11071436226192, 121.55029921816602","14.110711110665441, 121.55030458258435","14.110716963539087, 121.55031262921179","14.11072021513549, 121.55030927645035"
Lawn New BLK A,,,"14.110703306833663, 121.55029586540458","14.11069745395965, 121.55030122982289","14.110704607472304, 121.55030927645035","14.11071176098473, 121.55030592368891"
Lawn New BLK A,,,"14.110693552043575, 121.55029921816602","14.1106857482112, 121.55030592368891","14.110694852682279, 121.55031799363009","14.11069875459834, 121.55031061755491"
Lawn New BLK A,,,"14.110683797253069, 121.55030927645035","14.110680545656132, 121.55031531142096","14.1106857482112, 121.5503233580484","14.110692901724212, 121.55032201694384"
Lawn New BLK A,,,"14.11067599342035, 121.5503173230778","14.110668189587377, 121.55032604025757","14.110678594697948, 121.55033542798961","14.110687048849943, 121.55032939301901"
Lawn New BLK A,,,"14.110653882559573, 121.55034012185561","14.11065453287904, 121.55033945130334","14.110661036073589, 121.55034481572164","14.11066038575415, 121.55034481572164"
Lawn New BLK A,,,"14.110656483837428, 121.55034012185561","14.110653232240109, 121.55033945130334","14.110655183198494, 121.55035085069223","14.110657134156881, 121.5503468273785"
Lawn New BLK A,,,"14.110643477447883, 121.55034548627391","14.110635220313034, 121.55035367933188","14.110640422869134, 121.55035971430245","14.110650177661498, 121.55035300877957"
Lawn New BLK A,,,"14.110632619034938, 121.5503570320933","14.11062676615913, 121.55036105540705","14.110632619034938, 121.55036977258679","14.110636520952069, 121.55036306706388"
Lawn New BLK A,,,"14.110625465520032, 121.55036507872076","14.11061441008745, 121.55036843148223","14.110622213922282, 121.55037312534823","14.110628717117745, 121.5503691020345"
Lawn New BLK A,,,"14.110607906891575, 121.55037044313906","14.110601403695501, 121.55037916031883","14.110610508169952, 121.55038921860316","14.110619612644033, 121.55038050142339"
Lawn New BLK A,,,"14.110593599859984, 121.55038385418484","14.110585796024186, 121.55038988915544","14.110593599859984, 121.55039860633518","14.110602704334738, 121.55039190081231"
Lawn New BLK A,,,"14.110583194745532, 121.55039391246918","14.110577341868437, 121.55039793578288","14.11058384506519, 121.55040799406723","14.110588397302815, 121.55040128854435"
Lawn New BLK A,,,"14.110559132916535, 121.55038519528941","14.110557181957322, 121.55039391246918","14.11057409027, 121.55041335848554","14.110583194745532, 121.55040665296266"
Lawn New BLK A,,,"14.110574740589682, 121.55039860633518","14.110569538032093, 121.55040262964893","14.110575390909377, 121.55041067627637","14.110578642507802, 121.55040262964893"
Lawn New BLK A,,,"14.110584495384858, 121.55039123026","14.110579943147169, 121.55039793578288","14.110585145704515, 121.55040598241037","14.11059164890105, 121.55039927688749"
Lawn New BLK A,,,"14.110590998581406, 121.55038385418484","14.110584495384858, 121.55038921860316","14.11059620113851, 121.55040061799205","14.110600103056262, 121.5503925713646"
Lawn New BLK A,,,"14.11060595593277, 121.55036776092993","14.11059620113851, 121.55037848976654","14.110611158489533, 121.55038787749857","14.110621563602711, 121.55037848976654"
Lawn New BLK A,,,"14.110618962324695, 121.550362396512","14.110611158489773, 121.55036776093031","14.11062221392251, 121.55037781921462","14.110627416478902, 121.5503684314826"
Lawn New BLK A,,,"14.110625465520275, 121.55036038485513","14.11062026296383, 121.55036038485513","14.110628717117974, 121.55036977258716","14.110633269354697, 121.55036507872114"
Lawn New BLK A,,,"14.11064562542541, 121.55034764436166","14.110635870632843, 121.55035434988454","14.110641723508435, 121.55036105540744","14.11064952734231, 121.55035166767539"
Lawn New BLK A,,,"14.11065472989808, 121.55033959773421","14.110646926064382, 121.55034295049565","14.110654079578628, 121.55034831491395","14.110661883412071, 121.55034496215251"
Lawn New BLK A,,,"14.110665135009274, 121.55032953944986","14.11065472989808, 121.55033691552504","14.110659282134293, 121.55034429160021","14.11066708596756, 121.55034093883877"
Lawn New BLK A,,,"14.110675540119987, 121.55032752779302","14.11066123309263, 121.55033021000216","14.110669036925845, 121.55033624497277","14.110677491078183, 121.5503342333159"
Lawn New BLK A,,,"14.110683994272081, 121.55031411674723","14.110672288522922, 121.55032417503155","14.110680742675159, 121.55033289221133","14.110689847146428, 121.55032283392698"
Lawn New BLK A,,,"14.110693098743225, 121.55030607011977","14.110682693633317, 121.5503100934335","14.110695049701281, 121.55031948116554","14.110700902575347, 121.55031210509037"
Lawn New BLK A,,,"14.110702203214, 121.55029400017858","14.110695700020633, 121.55029735294002","14.11070415417199, 121.55030875232893","14.1107087064072, 121.55030472901521"
Lawn New BLK A,,,"14.110710007045814, 121.55028461244655","14.110702853533338, 121.55029400017858","14.110713258642319, 121.5503040584629","14.110720412154478, 121.55029534128316"
Lawn New BLK A,,,"14.110706105129946, 121.5502993645969","14.110697650978663, 121.5503040584629","14.110700902575347, 121.55030875232893","14.110706755449273, 121.55030271735833"
Lawn New BLK A,,,"14.110716510238799, 121.55029332962629","14.110714559280911, 121.55029802349233","14.110722643297889, 121.55030754858328","14.110728496171243, 121.55030352526954"
Lawn New BLK A,,,"14.11072524457494, 121.55028609091005","14.110720692340061, 121.55029011422377","14.11073044712899, 121.55029950195582","14.110738250959828, 121.55029346698522"
Lawn New BLK A,,,"14.110737600640602, 121.55028542035777","14.110733698725204, 121.55028810256692","14.110738901279051, 121.55029614919438","14.110739551598277, 121.5502894436715"
Lawn New BLK A,,,"14.110742803194361, 121.5502706682074","14.110738901279051, 121.55028340870089","14.110746054790408, 121.55028743201463","14.110751257343976, 121.55028139704402"
Lawn New BLK A,,,"14.110749956705591, 121.5502653037891","14.110743453513573, 121.55026798599827","14.110751257343976, 121.55028206759633","14.11075971149326, 121.55027670317801"
test block,,3,"14.111192666210059, 121.55029411625638","14.111153647130966, 121.5503276438668","14.111190064938324, 121.55036921810368","14.111228433693357, 121.55033166718006"
