block_no,lot_no,capacity,lat_long1,lat_long2,lat_long3,lat_long4
Map Family F-3,16,0,"14.111686099436035, 121.550461102742","14.111676344688005, 121.55047384323548","14.111688050385592, 121.55048725428125","14.111699105766089, 121.55047786654923"
Map Family F-3,17,1,"14.111716664310489, 121.55043696285964","14.111709510829604, 121.55044500948709","14.11172121652547, 121.55046311439887","14.111727719689586, 121.55045640887599"
Map Family F-3,18,1,"14.111738124751788, 121.55041885794782","14.111730320955177, 121.55042556347074","14.111743327282724, 121.55044702114397","14.111752431711542, 121.55043964506879"
Map Family F-3,19,0,"14.11175698392582, 121.55044299783022","14.111745928548123, 121.55045104445769","14.11176023550739, 121.55046847881718","14.111766088354102, 121.55045774998057"
Map Family F-3,20,1,"14.1117400757009, 121.55045506777142","14.111735523486276, 121.55046378495118","14.111745928548123, 121.5504792076538","14.111754382660527, 121.55047183157862"
Map Family F-3,21,0,"14.111721866841895, 121.55047049047404","14.11170690956376, 121.55048926593813","14.111717314626915, 121.55050334753618","14.111734222853514, 121.55048725428125"
Map Family F-3,22,1,"14.111699105766089, 121.55049328925186","14.111691952284655, 121.5505013358793","14.11170560893083, 121.55051675858196","14.111714063044735, 121.55051072361135"
Map Family F-3,23,1,"14.11167699500456, 121.55051340582052","14.111670491838991, 121.55052212300028","14.111686099436035, 121.55053620459832","14.11169325291766, 121.55052949907545"
Map Family F-3,24,1,"14.111656835190704, 121.55053218128458","14.111651632657809, 121.55054022791207","14.111664638989836, 121.55055699171928","14.111673093105242, 121.5505502861964"
Map Family F-3,25,0,"14.111678295637653, 121.5505543095101","14.111668540889294, 121.55056101503301","14.111680896903815, 121.5505737555265","14.111686099436035, 121.55056772055589"
Map Family F-3,26,0,"14.111695203867141, 121.55053553404605","14.111688700702107, 121.55054022791207","14.111697805133122, 121.55055296840553","14.111702357348486, 121.55054626288266"
Map Family F-3,27,0,"14.11171601399405, 121.55051474692509","14.111706259247295, 121.55052212300028","14.111719265576205, 121.55053821625519","14.111722517158308, 121.55052748741858"
Map Family F-3,28,0,"14.111743977599062, 121.55049261869958","14.111722517158308, 121.55051139416365","14.11173357253714, 121.55052882852314","14.111753082027876, 121.55050401808847"
Map Family F-3,29,0,"14.111757634242132, 121.55047652544465","14.111749830446206, 121.55048256041525","14.111757634242132, 121.55049798311786","14.111765438037803, 121.55048859538584"
Map Family F-3,30,0,"14.111769339935543, 121.5504617732943","14.111761536140001, 121.55047116102635","14.111769990251819, 121.55048256041525","14.111780395312087, 121.55046914936948"
Map Family F-3,31,1,"14.111801205431222, 121.55048390151981","14.111794051952982, 121.5504906070427","14.111805757644511, 121.55050737084991","14.111818113651601, 121.55050066532704"
Map Family F-3,32,0,"14.111786898474525, 121.55049530090874","14.111766738670388, 121.55051608802967","14.111784297209573, 121.55052748741858","14.111797953850227, 121.55051407637279"
Map Family F-3,33,0,"14.111760885823703, 121.55051474692509","14.11173357253714, 121.55052681686628","14.111746578864484, 121.55055699171928","14.11177129088439, 121.55052681686628"
Map Family F-3,34,0,"14.111735523486276, 121.55053888680747","14.11171796494334, 121.55055162730096","14.111735523486276, 121.55056973221275","14.111751131078881, 121.5505496156441"
Map Family F-3,35,0,"14.111714713361174, 121.5505556506147","14.111695203867141, 121.55056705000358","14.111714713361174, 121.55058716657224","14.111730320955177, 121.55056772055589"
Map Family F-3,36,0,"14.111695854183644, 121.55057308497419","14.111680896903815, 121.5505838138108","14.111699756082567, 121.55060191872259","14.111713412728284, 121.55058850767684"
Map Family F-3,37,1,"14.111716664309776, 121.55059722485605","14.111703007664262, 121.55060728314037","14.111719915891932, 121.55062807026133","14.111734873169203, 121.5506166708724"
Map Family F-3,38,1,"14.111735523485578, 121.55057576718282","14.11172251715761, 121.55059118988544","14.11173812475109, 121.55061264755867","14.111755683292472, 121.55059655430375"
Map Family F-3,39,1,"14.111758284557757, 121.55055967392788","14.111750480761831, 121.55056637945079","14.11176413740452, 121.55058381381028","14.111771941199963, 121.55057777883967"
Map Family F-3,40,0,"14.111781045627646, 121.55053218128405","14.111767388985987, 121.55055095674813","14.111783646892638, 121.55056906165993","14.111799904798115, 121.55055162730044"
Map Family F-3,41,1,"14.11179730353333, 121.55052078189517","14.11179210100364, 121.55053016962718","14.11180380669527, 121.55054894509126","14.111812911121683, 121.55053687515007"
Map Family F-3,42,0,"14.11182201554774, 121.55050468864023","14.11180770859235, 121.55052078189517","14.111819414283179, 121.55053419294092","14.11183632250221, 121.55052212299974"
,,,,,,
Map Family F-4,1,1,"14.11145133504902, 121.55060527148267","14.111458488538009, 121.55059655430289","14.111472795515304, 121.55061331811011","14.111484501223348, 121.55060594203492"
Map Family F-4,2,1,"14.111483850906248, 121.55057241442051","14.111473445832445, 121.55058180215254","14.111489053442984, 121.55059923651206","14.111499458516079, 121.55059253098918"
Map Family F-4,3,0,"14.111500759150175, 121.55056302668848","14.11148710249171, 121.55056906165906","14.111500108833125, 121.55058448436169","14.111511814539757, 121.55057777883883"
Map Family F-4,4,1,"14.111514415807825, 121.550550286195","14.111505961686516, 121.55056034447931","14.111518317709853, 121.55057643773424","14.111526771830691, 121.5505683911068"
Map Family F-4,5,1,"14.111533925317316, 121.5505321812832","14.11152482087976, 121.55053955735836","14.111539127852895, 121.55055699171787","14.111544980705293, 121.550550286195"
Map Family F-4,6,1,"14.11155278450823, 121.5505147469237","14.111542379437582, 121.55052346410343","14.11155668640961, 121.55053888680608","14.111567091479625, 121.55053352238778"
Map Family F-4,7,0,"14.111572944331296, 121.55049530090734","14.111559287677158, 121.55050938250538","14.111572944331296, 121.55052279355118","14.111585950667802, 121.55050938250538"
Map Family F-4,8,1,"14.11159570542013, 121.55051608803747","14.111582699084172, 121.55052279356035","14.1115963557369, 121.55054156902445","14.111603509221336, 121.55053352239696"
Map Family F-4,9,0,"14.11157099338118, 121.55053352239696","14.11156253926197, 121.55054291012901","14.111571643698024, 121.55055833283163","14.111582699084172, 121.55055028620417"
Map Family F-4,10,1,"14.111548882607208, 121.55055498007019","14.111543029754923, 121.55056302669766","14.11155798704381, 121.55057710829571","14.111563839895712, 121.55057241442971"
Map Family F-4,11,1,"14.111531324049896, 121.55057442608657","14.111524170563195, 121.55058113160945","14.111539127853316, 121.55059923652124","14.11154433038878, 121.55059253099837"
Map Family F-4,12,0,"14.111514415808246, 121.55058381381862","14.111505311369902, 121.55058850768462","14.111522219612237, 121.55061063591015","14.111532624683816, 121.55060258928268"
Map Family F-4,13,0,"14.111504010735471, 121.55059118989018","14.111493605662583, 121.55060527148825","14.111507912637691, 121.55062136474317","14.111518968026916, 121.5506133181157"
Map Family F-4,14,1,"14.111487102492244, 121.55061063590455","14.111481899955482, 121.55062002363658","14.111492305028893, 121.5506367874438","14.111502710101858, 121.55062807026404"
Map Family F-4,15,1,"14.111510513906255, 121.55063477578693","14.111505311370003, 121.55064081075751","14.111517017076379, 121.55065623346017","14.111523520246323, 121.5506495279373"
Map Family F-4,16,0,"14.111526121514252, 121.55061734142743","14.111513765491349, 121.55062739971176","14.111527422148198, 121.55064148130981","14.11153912785343, 121.55063410523464"
Map Family F-4,17,0,"14.11153912785343, 121.55061264756142","14.11153067373305, 121.55061532977057","14.111540428487311, 121.55063276413007","14.111551483874972, 121.55062002363658"
Map Family F-4,18,0,"14.111552134191868, 121.5505958837542","14.11154172912118, 121.55060325982937","14.111550183241153, 121.55062002363658","14.111557987043925, 121.55061063590455"
